,Country,People,Total_number_of_astronaut ,Number_of_Satilites,,,Purpose,Amount,,Launches,Name,Flight_Time
,,,,,,,,,,,Dominic A. Antonelli,000:00:251
,,,,,,,,,,,Winston Scott,000:00:252
,,,,,,,,,,,Michael T. Good,000:00:253
,,,,,,,,,,,Michael P. Anderson,000:00:254
,,,,,,,,,,,Donald McMonagle,000:00:255
,,,,,,,,,,,Julie Payette,000:00:256
,,,,,,,,,,,Kenneth Ham,000:00:257
,,,,,,,,,,,B. Alvin Drew,000:00:258
,,,,,,,,,,,Rick Husband,000:00:259
,,,,,,,,,,,Ronald A. Parise,000:00:260
,,,,,,,,,,,Samuel T. Durrance,000:00:261
,,,,,,,,,,,"Claudie Haigneré, EAC",000:00:262
,,,,,,,,,,,Ronald Grabe,000:00:263
,,,,,,,,,,,Michael Foreman,000:00:264
,,,,,,,,,,,Charles Simonyi,000:00:265
,,,,,,,,,,,Nicholas Patrick,000:00:266
,,,,,,,,,,,Lee Archambault,000:00:267
,,,,,,,,,,,Nicole Marie Passonno Stott,000:00:268
,,,,,,,,,,,James M. Kelly,000:00:269
,,,,,,,,,,,Christer Fuglesang,000:00:270
,,,,,,,,,,,Richard O. Covey,000:00:271
,,,,,,,,,,,Pierre Thuot,000:00:272
,,,,,,,,,,,Umberto Guidoni,000:00:273
,,,,,,,,,,,Heidemarie Stefanyshyn-Piper,000:00:274
,,,,,,,,,,,Jeffrey Ashby,000:00:275
,,,,,,,,,,,John D. Olivas,000:00:276
,,,,,,,,,,,Michael R. Clifford,000:00:277
,,,,,,,,,,,Alan G. Poindexter,000:00:278
,,,,,,,,,,,William Readdy,000:00:279
,,,,,,,,,,,"Joseph Kerwin, M.D.",000:00:280
,,,,,,,,,,,Nancy Jan Davis,000:00:281
,,,,,,,,,,,Charles Bolden,000:00:282
,,,,,,,,,,,"Ellen S. Baker, M.D.",000:00:283
,,,,,,,,,,,Paul Lockhart,000:00:284
,,,,,,,,,,,Eric A. Boe,000:00:285
,,,,,,,,,,,"Dafydd Williams, M.D.",000:00:286
